Run,age,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,tissue
SRR9214105,embryonic 12 days,RNA-Seq,MM10,98,19992418166,PRJNA547712,SAMN11975080,7884408542,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984847,wild type,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860748,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214106,embryonic 12 days,RNA-Seq,MM10,98,18611893734,PRJNA547712,SAMN11975079,7384742723,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984848,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860749,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214107,embryonic 12 days,RNA-Seq,MM10,98,17861416202,PRJNA547712,SAMN11975078,7081212277,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984849,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860750,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214108,embryonic 12 days,RNA-Seq,MM10,98,18087888126,PRJNA547712,SAMN11975077,7060667128,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984850,wild type,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860751,Hypothalamus,SRP200721,C57BL/6J,Hypothalamus
SRR9214109,embryonic 12 days,RNA-Seq,MM10,98,20030812018,PRJNA547712,SAMN11975076,7442713151,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984851,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860752,Hypothalamus,SRP200721,C57BL/6J,Hypothalamus
SRR9214110,embryonic 12 days,RNA-Seq,MM10,98,20885167982,PRJNA547712,SAMN11975075,7514605571,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984852,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860753,Hypothalamus,SRP200721,C57BL/6J,Hypothalamus
SRR9214111,embryonic 12 days,RNA-Seq,MM10,98,18174446234,PRJNA547712,SAMN11975074,6959314676,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984853,wild type,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860754,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214112,embryonic 12 days,RNA-Seq,MM10,98,18786607644,PRJNA547712,SAMN11975073,6679476201,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984854,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860755,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214113,embryonic 12 days,RNA-Seq,MM10,98,18601931740,PRJNA547712,SAMN11975072,6477288320,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984855,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860756,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214114,embryonic 12 days,RNA-Seq,MM10,98,17412274558,PRJNA547712,SAMN11975071,6922014230,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984856,wild type,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860757,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214115,embryonic 12 days,RNA-Seq,MM10,98,18587770544,PRJNA547712,SAMN11975097,7426549185,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984857,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860758,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
SRR9214116,embryonic 12 days,RNA-Seq,MM10,98,21641882724,PRJNA547712,SAMN11975096,8318433051,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5984858,mutant,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-08-10T00:00:00Z,GSM3860759,Hypothalamus,SRP200721,CD1 & C57BL/6J,Hypothalamus
